Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Bastos,aoANG,DF,33-176,22.9,1455,152,661,755,48,16,1455,4,2,50.0,2,50.0,843,3517,1761,7,5,0,12,3,1003,4,Matches
John,brBRA,GK,28-219,23.0,858,655,844,15,0,0,858,0,0,,0,,488,2426,1441,0,0,0,1,0,431,0,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,18.4,701,21,90,256,366,64,700,80,43,53.8,32,40.0,431,2774,1176,41,30,20,37,41,518,151,Matches
Marlon Freitas,brBRA,MF,29-176,18.5,1345,47,289,854,214,12,1345,6,3,50.0,3,50.0,789,3570,1849,23,11,2,11,5,999,27,Matches
Lucas Halter,brBRA,DF,24-140,14.8,953,127,487,450,19,11,953,0,0,,0,,571,2708,1702,8,5,0,4,0,717,1,Matches
Júnior Santos,brBRA,FW,29-344,14.6,455,10,29,169,264,75,455,47,23,48.9,21,44.7,283,2056,1018,39,20,24,46,26,341,117,Matches
Gregore,brBRA,MF,30-201,14.1,1044,53,269,704,79,10,1044,8,6,75.0,1,12.5,596,2460,1235,15,11,1,10,9,699,15,Matches
Cuiabano,brBRA,DF,21-216,13.4,787,33,195,307,294,31,787,19,4,21.1,12,63.2,346,1691,926,25,21,7,18,9,385,105,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,14.7,705,9,116,432,166,14,705,12,9,75.0,3,25.0,432,2199,1054,24,17,3,23,14,533,37,Matches
Damián Suárez,uyURU,DF,36-145,13.8,765,36,205,344,226,11,765,15,8,53.3,6,40.0,364,1425,868,22,18,2,12,4,422,55,Matches
Alexander Barboza,arARG,DF,29-187,12.6,804,128,383,393,30,13,804,6,5,83.3,1,16.7,417,1825,996,6,1,0,8,5,489,5,Matches
Danilo Barbosa,brBRA,MF,28-204,11.9,688,48,189,417,88,14,688,19,13,68.4,5,26.3,340,1373,570,8,7,1,14,14,459,12,Matches
Jefferson Savarino,veVEN,"MF,FW",27-313,13.1,590,7,46,244,302,41,590,11,4,36.4,6,54.5,347,1598,775,26,21,7,20,28,435,95,Matches
Mateo Ponte,uyURU,DF,21-118,9.4,512,21,132,252,134,20,512,19,7,36.8,10,52.6,248,1198,593,16,8,6,10,11,294,66,Matches
Tiquinho Soares,brBRA,"FW,MF",33-246,11.1,349,6,28,170,156,39,347,16,7,43.8,8,50.0,204,768,248,6,5,0,30,27,283,45,Matches
Fernando Marçal,brBRA,DF,35-213,8.3,628,31,191,269,171,3,628,8,3,37.5,4,50.0,267,1115,603,12,4,0,8,4,323,48,Matches
Igor,brBRA,"FW,MF",23-207,7.3,230,7,13,90,128,42,230,7,4,57.1,3,42.9,133,717,326,13,7,5,17,9,176,52,Matches
Carlos Eduardo,brBRA,"FW,MF",34-338,6.8,289,2,28,188,75,10,288,7,3,42.9,4,57.1,179,867,408,11,9,0,8,2,225,20,Matches
Óscar Romero,pyPAR,"MF,FW",32-077,7.2,446,10,49,240,161,15,445,21,11,52.4,7,33.3,266,1085,425,11,10,1,14,12,296,51,Matches
Thiago Almada,arARG,"FW,MF",23-146,4.8,341,1,28,184,134,16,340,18,10,55.6,8,44.4,208,1150,509,17,10,5,10,6,261,31,Matches
Jeffinho,brBRA,"FW,MF",24-264,3.6,148,1,20,68,65,15,148,14,7,50.0,7,50.0,96,511,206,6,6,2,9,13,109,22,Matches
Hugo,brBRA,DF,22-365,4.9,296,13,85,146,67,4,296,5,1,20.0,1,20.0,139,603,305,9,3,2,9,0,157,15,Matches
Gatito Fernández,pyPAR,GK,36-174,3.0,101,85,101,0,0,0,101,0,0,,0,,51,222,135,0,0,0,0,0,55,0,Matches
Allan,brBRA,MF,33-255,2.3,149,7,47,92,11,0,149,2,0,0.0,1,50.0,95,472,211,1,0,0,4,2,100,2,Matches
Carlos Alberto,brBRA,FW,22-158,2.0,41,2,5,14,25,12,41,6,4,66.7,2,33.3,21,218,154,5,4,2,6,0,22,4,Matches
Kauê,brBRA,"MF,FW",19-333,1.9,69,5,10,32,28,4,69,1,1,100.0,0,0.0,29,162,84,4,3,1,1,1,33,10,Matches
Matheus Martins,brBRA,"MF,FW",21-065,1.8,82,2,10,32,42,15,82,10,2,20.0,7,70.0,56,446,192,9,2,7,6,6,64,17,Matches
Vitinho,brBRA,DF,25-058,0.7,48,1,11,17,21,3,48,2,2,100.0,0,0.0,30,117,21,0,0,0,0,1,35,5,Matches
Matheus Nascimento,brBRA,FW,20-200,0.3,6,0,0,2,4,1,6,0,0,,0,,4,24,22,1,1,0,2,0,5,1,Matches
Diego Hernández,uyURU,"FW,MF",24-089,2.3,130,4,23,60,48,3,130,8,1,12.5,6,75.0,60,303,115,3,3,1,6,2,67,13,Matches
Yarlen Augusto,brBRA,MF,18-212,0.9,24,1,6,5,13,1,24,3,0,0.0,3,100.0,14,73,27,1,0,1,2,4,18,6,Matches
Patrick de Paula,brBRA,"MF,FW",25-011,0.3,21,0,2,16,4,0,21,0,0,,0,,12,56,22,1,1,0,1,0,14,2,Matches
Pablo,brBRA,DF,33-090,0.3,23,4,7,16,0,0,23,1,1,100.0,0,0.0,5,28,17,0,0,0,1,0,16,0,Matches
Fabiano,brBRA,DF,18-157,0.2,12,1,3,6,3,0,12,1,1,100.0,0,0.0,9,58,23,1,0,0,1,1,9,2,Matches
Jacob Montes,niNCA,"FW,MF",25-335,0.2,9,0,2,3,4,2,9,1,1,100.0,0,0.0,2,22,0,0,0,0,1,0,7,1,Matches
Alex Telles,brBRA,DF,31-279,0.2,12,2,5,4,3,0,12,0,0,,0,,3,29,3,0,1,0,1,1,4,0,Matches
Squad Total,,,28.8,26.0,15116,1532,4609,7246,3393,517,15110,377,186,49.3,163,43.2,8378,39866,20020,371,244,100,363,260,10004,1037,
Opponent Total,,,28.4,26.0,14163,1551,4686,6363,3251,450,14157,445,200,44.9,205,46.1,7648,40096,19341,352,272,87,365,222,9032,885,
