,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
19.9,DF,33-151,21,21,"1,791",3,0,3,3,0,0,3,0,0.05,0.05,Matches,1.0,7,68,3,0.15,0.00,0.15,0.15,0.15,0.05,0.00,0.05
20.0,GK,28-194,20,20,"1,800",0,0,0,0,0,0,2,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.9,"MF,FW",23-236,21,19,"1,430",4,3,7,3,1,1,3,0,0.08,0.22,Matches,3.6,35,33,112,0.25,0.19,0.44,0.19,0.38,0.13,0.14,0.27
15.5,MF,29-151,20,16,"1,395",0,3,3,0,0,0,4,0,0.05,0.16,Matches,2.5,19,140,20,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16
14.6,FW,29-319,17,15,"1,314",3,1,4,3,0,0,2,0,0.37,0.47,Matches,6.8,39,28,117,0.21,0.07,0.27,0.21,0.27,0.37,0.10,0.47
13.8,DF,24-115,15,14,"1,241",1,0,1,1,0,0,3,0,0.02,0.03,Matches,0.4,7,36,1,0.07,0.00,0.07,0.07,0.07,0.02,0.01,0.03
13.8,DF,36-120,17,13,"1,244",0,1,1,0,0,0,5,0,0.01,0.13,Matches,1.7,22,37,55,0.00,0.07,0.07,0.00,0.07,0.01,0.12,0.13
13.3,DF,21-191,16,13,"1,199",4,1,5,4,0,0,4,0,0.10,0.14,Matches,1.8,25,29,104,0.30,0.08,0.38,0.30,0.38,0.10,0.04,0.14
13.2,"MF,FW",31-361,19,12,"1,192",0,0,0,0,0,0,1,1,0.05,0.23,Matches,3.1,20,61,33,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.23
12.3,MF,30-176,20,12,"1,111",0,1,1,0,0,0,5,0,0.02,0.04,Matches,0.5,11,80,13,0.00,0.08,0.08,0.00,0.08,0.02,0.02,0.04
10.8,MF,28-179,19,12,973,3,1,4,3,0,0,3,0,0.11,0.14,Matches,1.5,7,48,10,0.28,0.09,0.37,0.28,0.37,0.11,0.03,0.14
10.6,DF,29-162,14,11,954,0,0,0,0,0,0,6,1,0.03,0.09,Matches,0.9,3,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09
11.5,"MF,FW",27-288,15,10,"1,033",4,3,7,4,0,0,3,0,0.20,0.44,Matches,5.0,20,63,78,0.35,0.26,0.61,0.35,0.61,0.23,0.23,0.46
10.4,"FW,MF",33-221,15,10,932,4,3,7,2,2,2,3,0,0.35,0.54,Matches,5.6,5,21,44,0.39,0.29,0.68,0.19,0.48,0.50,0.19,0.69
8.4,DF,21-093,10,10,757,3,0,3,3,0,0,2,0,0.17,0.22,Matches,1.9,15,28,55,0.36,0.00,0.36,0.36,0.36,0.17,0.05,0.22
6.8,"FW,MF",34-313,10,7,613,2,1,3,2,0,1,1,0,0.10,0.15,Matches,1.0,11,26,20,0.29,0.15,0.44,0.29,0.44,0.21,0.06,0.27
7.2,"MF,FW",32-052,16,6,649,1,3,4,0,1,1,5,0,0.08,0.26,Matches,1.9,11,48,51,0.14,0.42,0.55,0.00,0.42,0.19,0.18,0.37
5.6,DF,35-188,9,6,502,1,0,1,1,0,0,3,0,0.01,0.05,Matches,0.3,6,28,26,0.18,0.00,0.18,0.18,0.18,0.01,0.04,0.05
3.6,"FW,MF",24-239,6,5,324,1,1,2,1,0,0,2,0,0.49,0.61,Matches,2.2,6,9,22,0.28,0.28,0.56,0.28,0.56,0.49,0.12,0.61
4.9,DF,22-340,8,4,442,0,1,1,0,0,0,0,0,0.06,0.25,Matches,1.2,9,22,15,0.00,0.20,0.20,0.00,0.20,0.06,0.19,0.25
4.4,"FW,MF",23-182,7,4,394,2,0,2,2,0,0,1,0,0.43,0.45,Matches,2.0,6,13,36,0.46,0.00,0.46,0.46,0.46,0.43,0.02,0.45
3.0,GK,36-149,3,3,270,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.1,MF,33-230,5,2,192,0,1,1,0,0,0,2,0,0.01,0.09,Matches,0.2,1,5,2,0.00,0.47,0.47,0.00,0.47,0.01,0.08,0.09
2.0,FW,22-133,4,2,177,1,0,1,1,0,0,0,0,0.75,0.78,Matches,1.5,5,3,4,0.51,0.00,0.51,0.51,0.51,0.75,0.03,0.78
1.9,"MF,FW",19-308,8,2,167,1,0,1,1,0,0,0,0,0.10,0.11,Matches,0.2,4,4,10,0.54,0.00,0.54,0.54,0.54,0.10,0.01,0.11
1.8,"FW,MF",23-121,2,2,163,0,0,0,0,0,1,0,0,0.10,0.18,Matches,0.3,8,18,16,0.00,0.00,0.00,0.00,0.00,0.54,0.08,0.62
0.9,"MF,FW",21-040,3,1,81,2,0,2,2,0,0,0,0,1.07,1.07,Matches,1.0,7,6,11,2.22,0.00,2.22,2.22,2.22,1.07,0.00,1.07
0.3,FW,20-175,1,1,24,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.3,"FW,MF",24-064,10,0,207,0,2,2,0,0,0,3,0,0.03,0.24,Matches,0.6,3,9,13,0.00,0.87,0.87,0.00,0.87,0.03,0.22,0.24
0.9,MF,18-187,4,0,79,0,0,0,0,0,0,1,0,0.04,0.04,Matches,0.0,1,0,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04
0.3,"MF,FW",24-352,4,0,30,0,0,0,0,0,0,2,0,0.13,0.13,Matches,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13
0.3,DF,33-065,1,0,29,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,DF,18-132,1,0,22,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,"FW,MF",25-310,1,0,19,1,0,1,1,0,0,0,0,0.59,0.59,Matches,0.1,0,0,1,4.74,0.00,4.74,4.74,4.74,0.59,0.00,0.59
,GK,22-189,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,25-111,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,26-304,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,27-028,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
